fund_id,transaction_date,firm_id,transaction_type,transaction_amount,cumulative_contribution,cumulative_distribution,net_cashflow
7099,2023-12-31,697,Value,5358917.22,-8350000,22311181.21,13961181.21
7223,2023-12-31,2204,Value,273141,-10525084,20255555,9730471
7230,2023-12-31,436,Value,3227.5,-10906898.25,19625186.23,8718287.98
7305,2023-12-31,11327,Value,2571.6,-10035426,13657113.2,3621687.2
7334,2023-12-31,8710,Value,3870003.2,-10798000,25880646.4,15082646.4
7414,2023-12-31,22035,Value,12765184,-9900000,81183504.01,71283504.01
7415,2023-12-31,561,Value,23317843.25,-10000000,9148154.5,-851845.5
7464,2023-12-31,589,Value,0,-10126651.31,15799510.74,5672859.43
7465,2023-12-31,8837,Value,314999.99,-15845000,27839999.96,11994999.96
7490,2023-12-31,1597,Value,5662758.62,-9800000,13310344.81,3510344.81
7510,2023-12-31,537,Value,463151.6,-9850000,13669946.03,3819946.03
7521,2023-12-31,54,Value,0,-11246719.5,18588158.6,7341439.1
7587,2023-12-31,528,Value,0.4,-9679890.4,14433190.42,4753300.02
7662,2023-12-31,289,Value,2688.88,-11403479.72,7814430.16,-3589049.56
7666,2023-12-31,9036,Value,189478.2,-10354000,17985933.4,7631933.4
7700,2023-12-31,4647,Value,0,-10000000,14160168,4160168
7791,2023-12-31,6041,Value,5400.24,-9527159.61,3842375.59,-5684784.02
7855,2023-12-31,332,Value,178515.2,-9811716.67,11147216.11,1335499.44
7880,2023-12-31,12961,Value,731280.76,-11597269.15,9660026.87,-1937242.28
7922,2023-12-31,147,Value,0,-11387527,21657425.5,10269898.5
7966,2023-12-31,17285,Value,0,-10278969.14,12416304.59,2137335.45
7982,2023-12-31,938,Value,344172,-9330424,8770497.98,-559926.02
8053,2023-12-31,657,Value,56337.5,-12992465,35995575.04,23003110.04
8057,2023-12-31,553,Value,9090.91,-10000000,9139669.4,-860330.6
8106,2023-12-31,9455,Value,88130,-10000000,10207808,207808
8168,2023-12-31,40167,Value,391323.94,-9431364.63,11309642.97,1878278.34
8171,2023-12-31,6479,Value,1640910,-10000000,14711982,4711982
8195,2023-12-31,573,Value,1000000,-9320000,15752857.11,6432857.11
8250,2023-12-31,50947,Value,162713.8,-11028503.5,14329996.64,3301493.14
8267,2023-12-31,7627,Value,0,-10101931.55,6221836.41,-3880095.14
8321,2023-12-31,18,Value,613026.82,-9463601.53,15402298.81,5938697.28
8335,2023-12-31,103,Value,405142,-9847407.6,21093147.57,11245739.97
8398,2023-12-31,8235,Value,451368.3,-10069959.8,13818899.7,3748939.9
8423,2023-12-31,902,Value,481192,-10185980,24576317.97,14390337.97
8448,2023-12-31,138,Value,1612154.67,-10000000,28748278,18748278
8490,2023-12-31,454,Value,118662.72,-11144738.5,25594194.43,14449455.93
8494,2023-12-31,2147,Value,24166.67,-8879166.67,16085833.35,7206666.68
8528,2023-12-31,920,Value,121812.79,-9771336.98,8732947.06,-1038389.92
8675,2023-12-31,140,Value,486458.24,-9796128.38,17951871.45,8155743.07
8712,2023-12-31,10218,Value,215836.43,-9873397.14,12553084.61,2679687.47
8801,2023-12-31,838,Value,0,-9800301.71,10250962.9,450661.19
8804,2023-12-31,18,Value,388327.81,-9505000.1,13538110.89,4033110.79
8807,2023-12-31,613,Value,65491.68,-13109478.24,17790928.5,4681450.26
8814,2023-12-31,10352,Value,110665.41,-9840000,2105977.86,-7734022.14
8930,2023-12-31,436,Value,0,-13047686.83,22054390.88,9006704.05
8938,2023-12-31,18,Value,1480312,-9505000,14575019.47,5070019.47
8939,2023-12-31,18,Value,1673630.04,-9535000.39,18486793.15,8951792.76
8987,2023-12-31,355,Value,0,-9415105.47,13100574.13,3685468.66
8998,2023-12-31,10770,Value,293238,-10000000,31179514,21179514
9011,2023-12-31,1886,Value,2594195.29,-9425926.26,15585320.21,6159393.95
9012,2023-12-31,1886,Value,0,-9490000,13656087.32,4166087.32
9017,2023-12-31,5571,Value,0,-7500000,16995000,9495000
9098,2023-12-31,6747,Value,1480500.33,-8706560.43,15412972.4,6706411.97
9137,2023-12-31,733,Value,1018961,-11458601.67,13740069.65,2281467.98
9150,2023-12-31,534,Value,1570389.69,-10132402.27,14458101.2,4325698.93
9198,2023-12-31,698,Value,32693.2,-8836000,12501172.8,3665172.8
9220,2023-12-31,6372,Value,0,-11390088.72,16707129.07,5317040.35
9380,2023-12-31,472,Value,34507.5,-8801840,14440638.54,5638798.54
9513,2023-12-31,2566,Value,4549221,-10000000,7949961,-2050039
9549,2023-12-31,673,Value,2888052.24,-8868354.72,20447792.26,11579437.54
9789,2023-12-31,711,Value,526460,-10432597.6,11235886.44,803288.84
9865,2023-12-31,3806,Value,2267742,-10035343,13341518.46,3306175.46
9933,2023-12-31,11813,Value,4545196,-9150000,18457681.31,9307681.31
10002,2023-12-31,2305,Value,550808.53,-9115349.33,15300192.15,6184842.82
10003,2023-12-31,11936,Value,0,-9085064.79,21559948.59,12474883.8
10053,2023-12-31,538,Value,392196.5,-11770381.75,26357113.82,14586732.07
10054,2023-12-31,701,Value,0,-9973016.53,5889539.28,-4083477.25
10069,2023-12-31,11324,Value,455558.4,-9319146,24829709.97,15510563.97
10086,2023-12-31,1360,Value,117120,-9073302,9587507.98,514205.98
10111,2023-12-31,24459,Value,0,-11577810.67,10093668.72,-1484141.95
10112,2023-12-31,1480,Value,0,-10857806.47,27460395.39,16602588.92
10127,2023-12-31,436,Value,133255.15,-10584989.55,16464886.89,5879897.34
